Bag7_Timestamp,Bag7_PosX,Bag7_PosY,Bag7_PosZ,Bag3_Closest_Timestamp,Bag3_PosX,Bag3_PosY,Bag3_PosZ,Distance
1540821848.25495,5.45953395349902,-2.85715187727869,0.028130080139455,4912.469704125,5.51368716814616,-2.86301269469939,0.52389467451946,0.4987478850864723
1540821848.25695,5.46279029437617,-2.86670830229696,0.0295101022089471,4912.471704124,5.51124787573624,-2.87167984943288,0.524031719050179,0.49691496555795
1540821848.25895,5.46606953515023,-2.87625260305498,0.0308965802674256,4912.473704125,5.50881924463666,-2.88035769959093,0.524165556495823,0.4951350042040604
1540821848.26095,5.46937161493278,-2.88578473047656,0.0322893885538535,4912.475704125,5.50640131628854,-2.8890462070947,0.524296170980057,0.49340906960210307
1540821848.26295,5.47269647081553,-2.89530463640631,0.0336883965279238,4912.477704124,5.5039941327826,-2.89774533334497,0.52442354821377,0.49173823295151853
1540821848.26495,5.47604403779329,-2.90481227352953,0.0350934689818033,4912.479704125,5.50159773692325,-2.90645503920762,0.524547675575942,0.4901235666349817
1540821848.26695,5.47941424868712,-2.91430759529227,0.0365044661518762,4912.481704124,5.49921217229275,-2.91517528499906,0.52466854219451,0.4885661427105648
1540821848.26895,5.48280703406737,-2.92379055582121,0.0379212438304878,4912.483704125,5.49683748331535,-2.92390603047165,0.524786139027233,0.48706703133699447
1540821848.27095,5.48622232217676,-2.93326110984372,0.0393436534776885,4912.485704124,5.49447371532142,-2.93264723479917,0.52490045894256,0.4856272991344794
1540821848.27295,5.48966003885347,-2.94271921260779,0.0407715423329771,4912.487704125,5.49212091461159,-2.94139885656222,0.525011496800497,0.4842480074840677
1540821848.27495,5.49312010745417,-2.952164819802,0.042204753527045,4912.487704125,5.49212091461159,-2.94139885656222,0.525011496800497,0.4829277955358688
1540821848.27695,5.49660244877717,-2.96159788747553,0.0436431261935195,4912.489704124,5.48977912852091,-2.95016085373373,0.52511924953347,0.48166027528393685
1540821848.27895,5.5001069809854,-2.97101837195809,0.0450864955807077,4912.491704125,5.48744840548293,-2.95893318366432,0.525223716227192,0.4804560770351213
1540821848.28095,5.50363361952956,-2.98042622977991,0.0465346931633404,4912.493704124,5.48512879509328,-2.96771580306799,0.525324898200456,0.4793162253816366
1540821848.28295,5.50718227707117,-2.98982141759174,0.0479875467543154,4912.495704124,5.48282034815623,-2.97650866801257,0.525422799056966,0.47824173074200654
1540821848.28495,5.51075286340562,-2.99920389208479,0.0494448806164416,4912.497704125,5.48052311668867,-2.9853117339225,0.525517424666209,0.47723358729556614
1540821848.28695,5.51434528538528,-3.00857360991071,0.0509065155741827,4912.499704124,5.47823715390711,-2.9941249555865,0.525608783116364,0.47629277086715693
1540821848.28895,5.51795944684256,-3.01793052760159,0.0523722691254006,4912.501704125,5.47596251421416,-3.00294828716535,0.525696884666137,0.47542023679632056
1540821848.29095,5.52159524851298,-3.02727460148991,0.0538419555530995,4912.503704124,5.47369925318489,-3.01178168219973,0.525781741696598,0.4746169177997888
1540821848.29295,5.52525258795825,-3.03660578762849,0.0553153860371694,4912.505704125,5.4714474275533,-3.02062509361805,0.525863368663022,0.4738837218353437
1540821848.29495,5.52893135948933,-3.04592404171054,0.0567923687661299,4912.507704124,5.4692070951987,-3.02947847374428,0.525941782046718,0.4732215299754544
1540821848.29695,5.53263145408952,-3.05522931898955,0.058272709048874,4912.509704125,5.46697831513215,-3.03834177430572,0.526017000306868,0.47263119429936834
